abstract,author,title,year
"
					,
					University libraries are currently facing their greatest challenge. For more than a decade, university libraries have been under the pressure to change its way of operation and management due to the tight of budget and the appearance of online resources. These situations cause the libraries to value their development of resources and the application of business marketing to better service. How to retain and grow users through enhancement of service becomes the great concern by library managers.  Customer Relationship Management (CRM) is not a tactical or functional approach but a key strategic process. A comprehensive CRM will highlight the preference and learning needs of readers individually for cost saving and enhance the retention and loyalty. We aim to propose an integrated conceptual framework implying with business marketing plan and CRM perspective through literature finding. 
				","
							,
																				,
							,
																				,
							,
																				","
		A Conceptual Framework of Library Reader Service from Customer Relationship Management Perspective 
	",
"
					,
					As digital halftone images are widely used in the printing of books, magazines, newspapers and computer printers, the ease with which perfect copies can be made, may lead to large-scale unauthorized copying. Watermarking has been considered for many copy prevention and copyright protection applications. The hybrid watermarking system is proposed for halftone images that the watermarks embedded based on the spatial domain and frequency domain separately to enhance the robustness. For the purpose of copyright protection, the watermarks are embedded into the halftone image with visual transparency and robustness by the variety of dispersed dot order dither arrays generated by the particle swarm optimization (PSO) method achieving good robustness and image quality produce patterns for the spatial watermarks embedding system.  After the binary pseudo-wavelet transform (BPWT), the second watermarks are embedded into the high-frequency components of the BPWT coefficients of the spatial domain based watermarked image that the frequency domain based watermarking is independent to the spatial domain based one. And the modified quality criterion system for halftone images is proposed by using the PSO based visual filter. The experimental results show that the hybrid watermarking algorithm is more robust for halftone images and the watermarked halftone image possesses high image quality by the PSO algorithm.
				","
							,
																				,
							,
																				,
							,
																				","
		Hybrid Watermarking Scheme for Halftone Images 
	",
"
					,
					An image can be considered as a fuzzy subset of plane. Fuzzy entropy measuring the blur in an image is a functional which increases when the sharpness of its argument image decreases. In this paper we consider three parameters such as the intensification parameter t, the fuzzifier h f and crossover point c  .The partially ordered set and lattice theory defined in section 2 strengthens the selection of any value in the interval [0, 1] such that the image can be enhanced. Here we verify the approximate value of c  and visual observation image enhancement in different figures. By entropy minimization technique we construct an approximation of the ideal image and for that we apply the enhancement operation to the low contrast image. This can be done by an optimization process that minimizes a criterion function. 
				","
							,
																				,
							,
																				,
							,
																				","
		Approximation Studies on Image Enhancement Using  Fuzzy Technique 
	",
"
					,
					The current Internet protocol, version 4, known as IPv4, poses several problems such as impending exhaustion of its address space, configuration and complexities due to rapid growth of the Internet and emerging new technologies.  As a result, IETF developed the next generation IP, called IPv6, to not only eliminate the shortcomings of IPV4 but also deliver new features and services. Transition technologies were developed to support the transition from the IPv4-based Internet to IPv6-based Internet. This paper discusses the 6to4 mechanism, a powerful IPv6 transition tool that will allow both traditional IPv4-based Internet end-user sites and new IPv6- only Internet sites to utilize IPv6 and operate successfully over the existing IPv4-based Internet routing infrastructure. This paper also outlines the security issues brought about by the connectivity and interoperability of IPv6 to IPv4 domains particularly the 6to4 mechanisms. 
				","
							,
																				,
							,
																				,
							,
																				","
		A Study on the Connectivity of IPv6 to IPv4 Domains and Its Security Issues
	",
"
					,
					The usage of mobile network is significantly growing and it can be used in mobile platforms such as airplane, train, bus, car, etc. It is very useful for day-to-day activities of human beings. A mobile network can be connected to the Internet anywhere at anytime. But all these comforts depend on the technological aspects. The differences between the application demand and network performance are inevitable. These differences determine whether the Quality of Service (QoS) is met or not. There are different types of Internet applications and mobile network interfaces.  The Internet applications are file transfer, telephony, video conferencing, etc. The QoS requirements will vary from one application to another application. The mobile network interfaces are GPRS, IEEE 802.11x, WiMAX, etc. The data rates will vary from one interface to another interface. This paper aims to propose an intelligent technique which forwards data packets via suitable network interface. The outcome of this paper greatly improves QoS in multihomed mobile network. 
				","
							,
																				,
							,
																				","
		An Intelligent Technique to Improve Quality of Service (QoS) in         Multihomed Mobile Networks 
	",
"
					,
					 The internet is used for wide variety of applications in wired, fixed wireless and mobile wireless environment. The requirements of one application / environment will vary from another application / environment.  The challenge for the service provider is Quality of Service (QoS). The wired network has less complexity compared to fixed wireless network with respect to QoS. Certainly, the challenge for the service provider is further increased in mobile wireless network. This paper proposes a QoS strategy to select an appropriate coding scheme for any application based on the characteristics of coding schemes and data rates provided by the General Packet Radio Service (GPRS). This paper also analyzes coding schemes with various internet applications and QoS parameters like reliability, delay and bandwidth. The outcome of our strategy and analysis will help to select an appropriate coding scheme and to reduce the complexities involved in the data transfer with respect to the above parameters in wireless mobile networks. 
				","
							,
																				,
							,
																				,
							,
																				","
		A Quality of Service Strategy to Select Coding Schemes  in General Packet Radio Service System 
	",
"
					,
					In this paper, application of SLMM to a case was described. Because SLMM consultants considered the target of SLMM as a virtual laboratory in commercial company, it may be difficult to say this result can be applied to real one in same way. But this case study will give enough information about the real application of SLMM to real company, and many people can understand how to modify and use SLMM according to their own environment. 
				","
							,
																				,
							,
																				","
		Case Study - SLMM Application 
	",
"
					,
					Security of computer systems and networks has become very significant nowadays. Introducing and using a unified framework for modeling and quantitative security evaluation (QSE) is an open problem. Th results of our study on drawbacks of the existing security assessment methodologies motivated us to use a simulation framework for model-based security evaluation. We have used discrete-event simulation (DES) and the SimEvents tool for QSE of a domain name system (DNS). First, the normal operation of the DNS is simulated. Then, an attacker is added to the model. The aim is to evaluate the instantaneous availability of DNS as an important measure of security. Finally, as a case study, DNS spoofing attack model is constructed and the availability of the attacked system is evaluated. The proposed approach can be used for other kinds of attacks and other types of systems, networks and applications. In this paper the simulation models and their results are presented. 
				","
							,
																				,
							,
																				","
		DNS Spoofing Attack Simulation for Model-Based Security Evaluation 
	",
"
					,
					The problem of estimating a signal that is corrupted by additive noise has been of interest to many researchers for practical as well as theoretical reasons. Many of the traditional denoising methods have been using methods such as the Wiener filtering. Recently, nonlinear methods, especially those based on wavelets have become increasingly popular, due to a number of advantages over the linear methods. It has been shown that wavelet and multiwavelet thresholding guarantees better rate of convergence, despite its simplicity. This paper demonstrates the work of combining Parametric multiwavelet and Sureshrink to remove noise from the signal. Experimental results shows that the proposed work is 4% efficient in terms of SNR values and image quality when compared to other wavelet families 
				","
							,
																				,
							,
																				","
		An Improved Denoising Algorithm using Parametric Multiwavelets for Image Enhancement 
	",
"
					,
					 The properties and performance of DDR p+pnn+  Wurtzite Gallium Nitride (Wz-GaN) Impatt diodes at Terahertz (THz) frequencies has been investigated for optimum bias current density through modeling and simulation technique. A double iterative computer method based on drift-diffusion model has been used to study the DC and small signal admittance properties of the device. The bias current density is optimized with respect to maximum conversion efficiency and device negative resistance at both 0.3 and 0.5 THz frequencies. The simulation studies show that these devices are potential sources for generating high RF power. The DC-to-RF conversion efficiency of the device is found to be 12.3% and 11.4% at 0.3 THz and 0.5 THz at the optimum bias current density of 2 x 107 A/m2 and 1.8 x 108 A/m2 respectively. The design results presented in this paper will be useful to realize experimentally Wz-GaN IMPATTs for Terahertz frequencies. 
				","
							,
																				,
							,
																				,
							,
																				","
		Bias current optimization of Wurtzite-GaN DDR IMPATT diode for high power operation at THz frequencies 
	",
