abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><strong>The paper describes the design and development of an intelligent autonomous vehicle that can navigate without human operator in unknown environments. We have interfaced to AT89C52 microcontroller with the ultrasonic sensors and GPS receiver for easy access to the destination by avoiding the obstacles in its way at low level. A camera is interfaced to pc for lanes’ identification and road following task at higher level. The designed vehicle has modular structure and more modules can be added without much complexity. The experimental results demonstrate the effectiveness of the proposed design.</strong></div>
		<br>
		</div>",Maaz Tahir,Design and Implementation of an Autonomous Car for Navigation in Unknown Enviornments
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we formalize the lexical analysis into a Z specification for verifying it in Z tool. Lexical analyzer is described as automata, further, we write the specification of it using an integration of automata and Z. This gives formal approach which can leads to its correctness. In this paper, we present the development and verification of a generic and simple lexical analyzer which is obtained from the integration of automata and Z-notations.</div>
		<br>
		</div>","ZAHEER AHMAD, MUHAMMAD RIZWAN BABAR, Farooq Ahmad",Verification of Identifier and Reserved word of Lexical Analyzer Using Z Notation
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Cloud computing provides the better resource sharing and utilization of services through virtual shared servers. The allocation and deallocation of resources effects on quality, processing, memory, and service provisioning. The automation of cloud computing services is a big issue till now This model provides the better utilization of resources on demand through an agent by using formal method technique Petri net. Petri net modeling is a straightforward description of the problem which is used to overcome this type of issues. The agent acts as a dealer and responsible to utilize the unused resources, automation of resources, and provisioning of all types of cloud services like IaaS, PaaS, SaaS and HaaS. This Petri net modeling facilitates the utilization of resources through an agent by using predefined procedures. Furthermore, it also provides the efficiency and cost effectiveness of cloud computing services.</div>
		<br>
		</div>","Waseem Iqbal, Shahid Yousaf",Formal Modeling of Agent Based Cloud Computing Services using Petri nets
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We reviewed the literature used for optimal performance of multi-processor, we study different approaches in this paper. They include rate monotonic, deadline monotonic, and Earliest deadline first Algorithm. These approaches are basically used for real time scheduling systems .The problem of inconsistencies occurring in these algorithms such as those tasks whose task period is less but if not executed does not matter and whenever they are scheduled under rate monotonic scheduling algorithm the time consumed by CPU in scheduling the tasks is spent unnecessarily.</div>
		<br>
		</div>","Aiman Jan, Sher Afzal Khan",Review of different approaches for optimal performance of multi-processors
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>This paper discusses the security threats and vulnerabilities in smartphone and compares the operating system on the basis of their strengths and weakness by keeping in mind the security. Our purpose is to evaluate how much protected these system are, what risks can make them vulnerable and how to make these platform more strenghtend. Our work cover four main Smartphone operating system those are android. iOS, symbiyan and blackberry and anatomize their security environment. This paper Analyze to decreases smartphone vulnerabilities, maintain secrecy, integrity and availability of smartphone basic applications. We address to explore their vulnerabilities, threats and security levels. </em></div>
		<br>
		</div>","ZEESHAN IQBAL, KINZA KHAN",Security Analysis Of Smartphone Operating Systems
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>A collection of different interconnected small or large networks is called an Internet. It is a speedy high way that connects multiple regions. Each region can have one or more than one networks. Internet has become more influential tool to minimize the communication gap all over the world.  Internet service providers (ISPs) are providing cheap, fast and good communication services now a day. Today’s technology is playing important role in the growth of Internet users. The easy and cheap availability of computers, laptops, mobiles and Internet services may cause for Internet addiction. Internet addiction refers to extreme use of Internet which seems unmanageable in routine life matters, health, attitude, and relationships. Too much use of Internet affects the students spiritually, emotionally, morally and educationally. We have investigated the relationship between problems and measures of Internet addiction among 1000 university level students in the current study. Data was collected through questionnaires filled individually by every student. Results indicated that a large number of students waste their time on chatting and visiting useless sites. Moreover, interpersonal, academic and health problems were found. The reasons of positive and negative impacts of Internet addiction were also found. Survey showed that number of students was unaware to use the Internet properly.  It was observed that the male students were more Internet addicts than female students.<strong></strong></em></p></div>
		<br>
		</div>","MUHAMMAD WASEEM IQBAL, NATASH ALI MIAN",Analysis Of Internet Addiction Amongst University Level Students
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Modeling epidemics has played a vital role in predicting the impact of a disease in a population and the ability to overcome it. The objective of this paper is to introduce the concept of agent based modeling classification for SIR epidemic model, suggest a new discrete-time agent based SIR model and formally document Gillespie’s Algorithm based SIR epidemic model. Furthermore a computational analysis of chemical master equation and Gillespie’s algorithm based SIR models has been performed showing that the use of latter results in considerable reduction in execution time. </em></p></div>
		<br>
		</div>","MUHAMMAD HANIF DURAD, MUHAMMAD NAVEED AKHTAR",Analysis Of Sir Epidemic Models
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Cloud computing is modrendevelopingtechnoloy which provides on-claim resources in cloud computing envoirnment.  Cloud computing is modern technology which guarantees to provide elastic Infrastructure, resources accessible via the Internet with low cost. Cloud refers to a huge bundle of computing and data resources which can be access to different protocols and interfaces. Cloud service model containsSoftware-as-a-service (SaaS),Infrastructure-as-a service (IaaS), and Platform-as-a-service (PaaS. Cloud users can enjoy these services without knowing the underlying technology behind the cloud. Quality of service playsa vital role in any network while providing efficient resourcesto users. To competitive gain, it is compulsory to cloud computing network operator  to gain  trust of users by providing the best quality of services. Resource virtualization, share pool of resources, on-demand network access, large datacentres, and highly-interactive web applications needs quality of services. In this paper we put an effort to enhance the cloud computing model to show the “Quality as-a-service(QaaS)”layer. This service layer will help the cloud provider how to enhance the quality of service to cloud users to gain competitive advantage over other cloud service providers.  Parameters which are to useto measure the quality of services includeService Response Time, Reliability, Interoperability, Accuracy,Execution time etc.</em></div>
		<br>
		</div>","GHULAM YASIN, SABAH ARIF, NATASH ALI MIAN",Enhanced Cloud Computing Model Using Systematic Approach Towards The Quality Of Service In A Cloud Computing
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Fault-tolerance technique enables a system or application to continue working even if some fault /error occurs in a system. Therefore, it is vital to choose appropriate fault tolerant technique best suited to our application. In case of real-time embedded systems in a space project, the importance of such techniques becomes more critical. In space applications, there is minor or no possibility of maintenance and faults occurrence may lead to serious consequences in terms of partial or complete mission failure. This paper describes the comparison of various fault tolerant techniques for space applications. This also suggests the suitability of these techniques in particular scenario.  The study of fault tolerance techniques relevant to real-time embedded systems and on-board space applications (satellites) is given due importance. This study will not only summarize fault tolerant techniques but also describe their strengths. The paper describes the future trends of faults-tolerance techniques in space applications. This effort may help space system engineers and scientists to select suitable fault-tolerance technique for their mission. </em></p></div>
		<br>
		</div>","MUHAMMAD FAROOQ, MUHAMMAD WASEEM IQBAL, TOQIR AHMAD RANA, NATASH ALI MIAN",Comparative Analysis Of Fault-Tolerance Techniques For Space Applications
