abstract,author,title
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, using an analytical technique we obtain a strong convergence for a modified three-step iterative scheme due to Suantai [6] for asymptotically pseudocontractive mappings in real Banach spaces. Our result is an improvement and a correction of Rafiq's [4] results.</p></div>
		<br>
		</div>",Author(s): Adesanmi Alao Mogbademu,Title: A Note on: Multi-Step Approximation Schemes for the Fixed Points of Finite Family of Asymptotically Pseudocontractive Mappings
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we find the solution and prove the generalized Ulam-Hyers stability of the harmonic mean functional equation in two variables. We also provide counterexamples for singular cases.</p></div>
		<br>
		</div>","Author(s): K. Ravi, J.M. Rassias, B.V. Senthil Kumar",Title: Generalized Ulam-Hyers Stability of the Harmonic Mean Functional Equation in Two Variables
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>This paper considers the stability of nonlinear differential equations of nth order in the sense of Hyers and Ulam. It also considers the Hyers-Ulam stability for superlinear Emden-Fowler differential equation of nth order. Some illustrative examples are given.</p></div>
		<br>
		</div>",Author(s): Maher Nazmi Qarawani,Title: On Hyers-Ulam Stability for Nonlinear Differential Equations of nth Order
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>This paper contains a heat conduction problem for an elliptical plate with heat transfer on the upper and lower surfaces, to determine the temperature with the help of Mathieu function and integral transform technique.</p></div>
		<br>
		</div>",Author(s): Sunil D. Bagde,Title: Inverse Thermoelastic Problem of Heat Conduction in an Elliptic Plate
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>The aim of this paper is to study an implicit iterative process with errors for two finite families of non-Lipschitzian asymptotically quasi-nonexpansive type mappings in the framework of real Banach spaces. In this paper, we have obtained a necessary and sufficient condition to converge to common fixed points for proposed scheme and mappings and also obtained strong convergence theorems by using semi-compactness and <em>Condition (B’)</em>.</p></div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Convergence Theorems of an Implicit Iterates with Errors for Non-Lipschitzian Asymptotically  Quasi-Nonexpansive Type Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we define a new cone ball-metric and get fixed points and common fixed points for the α- property in cone ball-metric spaces.</p></div>
		<br>
		</div>","Author(s): Rajesh Shrivastava, Rajendra Kumar Dubey, Pankaj Tiwari, Animesh Gupta",Title: Fixed Point and Common Fixed Point Theorems for α-Property in Cone Ball-Metric Spaces
