abstract,author,title
"
	,
","
                Ellison C. Castro, Bhazel Anne R. Pelicano
            "," , , , , UTC: 00:30 - 09:30,
                Least Action Trajectory in Neural Networks  [BPBC 2013]
            "
"
	,
","
                Saad Mogren, Manoj Mukhopadhyay
            "," , , , , UTC: 00:30 - 09:30,
                Gravity Modeling for the Rifted Crust at the Arabian Shield Margin – Further Insight into Red Sea Spreading  [ICGG 2013]
            "
,"
                Kim Mey Chew, Rubita Sudirman, Nasrul Humaimi Mahmood, Norhudah Seman, Ching Yee Yong
            "," , , , , UTC: 00:30 - 09:30,
                Human Brain Microwave Imaging Signal Processing: Frequency Domain (S-parameters) to Time Domain Conversion  [ICBE 2013]
            "
"
	In the present study, we developed silicosis of
rat model by bronchial perfusion SiO, dust, and intervenes with
AcSDKP, immunohisto chemistry was used to detect NF-κb and MCP-1 expression in lung
tissue, and positive cells were counted. We found that compared with silicotic
model group, the positive cells of NF-κb and MCP-1 were decreased significantly
in anti-fibrosis treatment of AcSDKP group. The findings suggest that AcSDKP could inhibit the expression of NF-κb
and MCP-1 in lung tissue of silicosos, this may be related to AcSDKP inhibit of
macrophage infiltration in lung tissue and reduced the degree of dust
alveolitis.
","
                Qian Li, Fang Yang, Lijuan Zhang, Hong Xu, Wenli Zhang
            "," , , , , UTC: 00:30 - 09:30,
                The Effects of N-acetyl-seryl-aspartyl-lysyl-proline on  Expression of NF-κb and MCP-1 in Rats with Silicosis  [NESD 2013]
            "
,"
                Anith Adibah Hasseim, Rubita Sudirman, Puspa Inayat Khalid, Narges Tabatabaey-Mashadi
            "," , , , , UTC: 00:30 - 09:30,
                Comparison of ANN and SVM to Identify Children Handwriting Difficulties  [ICBE 2013]
            "
"
	,
","
                Yanhong Dong, Claire L. Thompson, Shi Huey Joanne Tan, Leon Ben Swie Lim, Wanshin Pang, Christopher Li-Hsian Chen
            "," , , , , UTC: 00:30 - 09:30,
                Test-Retest Reliability, Convergent Validity and Practice Effects of the RBANS in a Memory Clinic Setting:  A Pilot Study  [CPA 2013]
            "
"
	The purpose of the study was to develop an
educational module for undergraduate student that effectively supports a
project-based learning, and to cultivate a sense of students’ social
responsibility. The researcher recognizes computer-supported collaborative
learning (CSCL) as a powerful tool in supporting students to share their
meaningful learning activity and project. The tool can vastly and conveniently
broaden the students’ learning experience and facilitate different learning
needs of individual student efficiently.
","
                Anchana Sooksomchitra, Prakob Koraneekij, Jaitip Na-Songkhla
            "," , , , , UTC: 00:30 - 09:30,
                Education for Social Responsibility: The Use of CSCL in Undergraduate Service-Learning Modules  [CEAE 2013]
            "
"
	The aim of the current preliminary research was
to examine the relationship between aquatic motor activities and language abilities.
Our hypothesis suggests that changing the environment to water may improve motor
and linguistic abilities. The study included 94 children between the ages of four
and six. Thirty-one children who participated in aquatic motor activities were compared
to 41 children who participated in on-land motor activities and to 21 children who
participated in non-motor activities. Developmental-functionality tests, including
gross and fine motor, time estimation and language tests, were used to diagnose
participants’ abilities before and after six months of intervention. We found significant
improvement in gross motor, fine motor and time estimation abilities for the aquatic
motor activities group. Moreover, improvement in gross motor and time estimation
abilities moderated the association between aquatic motor activities and children’s
naming ability, suggesting the positive effect of aquatic motor activities on language
abilities. Based on these novel findings, child-development professionals can have
a better understanding of relation between language abilities and motor abilities,
possibly leading to an improvement of intervention methods with early-childhood
patients. Early childhood intervention could aid in reducing primary differences
between children in motor abilities, and especially in motor-development disorders,
which in turn are thought to lead to additional learning disabilities.
","
                Ronit Ram-Tsur, Michal Nissim, Michal Zion, Tal Dotan Ben-Soussan, Zemira Mevarech
            "," , , , , UTC: 00:30 - 09:30,
                Language Development: The Effect of Aquatic and  On-Land Motor Interventions  [CEAE 2013]
            "
"
	A wireless distributed monitoring terminal was designed
with embedded Linux used on the basis of ARM board, and an application program
was developed for data collection, processing and transmission. Data were
collected from the surrounding environment and transmitted to a server via WLAN
in the form of Extensible Markup Language (XML) stream, so the terminal had
good flexibility to be compatible with different sensors, network devices and
information systems from multiple manufacturers.
","
                Fenggui Wang, Lin Zhang, Zhongmin Wang, Yanbo Zhang
            "," , , , , UTC: 00:30 - 09:30,
                Wireless Distributed Monitoring Terminal Used for On-Line Application  [WiCOM 2013]
            "
"
	Failure of induction
motors are a large concern due to its influence over industrial production.
Motor current signature analysis (MCSA) is common practice in industry to find
motor faults. This paper presents a new approach to detection and diagnosis of
motor bearing faults based on induction motor stator current analysis. Tests
were performed with three bearing conditions: baseline, outer race fault and inner race fault. Because the
signals associated with faults produce small modulations to supply component
and high nose levels, a modulation signal bispectrum (MSB) is used in this
paper to detect and diagnose different motor bearing defects. The results show
that bearing faults can induced a detestable amplitude increases at its
characteristic frequencies. MSB peaks show a clear difference at these
frequencies whereas conventional power spectrum provides change evidences only
at some of the frequencies. This shows that MSB has a better and reliable
performance in extract small changes from the faulty bearing for fault detection
and diagnosis. In addition, the study also show that current signals from
motors with variable frequency drive controller have too much noise and it is
unlikely to discriminate the small bearing fault component.
","
                Ahmed Alwodai, Tie Wang, Zhi Chen, Fengshou Gu, Robert Cattley, Andrew Ball
            "," , , , , UTC: 00:30 - 09:30,
                A Study of Motor Bearing Fault Diagnosis using Modulation Signal Bispectrum Analysis of Motor  Current Signals  [CSIP 2013]
            "
,"
                Zhaoyang Wang
            "," , , , , UTC: 00:30 - 09:30,
                A Research on the Application of XBRL in the Independent Audit  [iTAP 2013]
            "
"
	Shockwave detection is critical in
analyzing shockwave structure and location. High speed video imaging systems
are commonly used to obtain image frames during shockwave control experiments.
Image edge detection algorithms become natural choices in detecting shockwaves. In this paper, a computer
software system designed for shockwave detection is introduced. Different image
edge detection algorithms, including Roberts, Prewitt, Sobel, Canny, and Laplacian of Gaussian, are implemented and
can be chosen by the users to easily and accurately detect the shockwaves. Experimental results show that the
system meets the design requirements and can accurately detect shockwave for
further analysis and applications.
","
                Suxia Cui, Yonghui Wang, Xiaoqing Qian, Zhengtao Deng
            "," , , , , UTC: 00:30 - 09:30,
                Image Processing Techniques in Shockwave Detection and Modeling  [CSIP 2013]
            "
"
	,
","
                M. M. Nordiana, Rosli Saad, M. N. M. Nawawi, Nisa’ Ali, I. N. Azwin, A. H. A. Teh Saufia
            "," , , , , UTC: 00:30 - 09:30,
                2-D Resistivity Study: The Horizontal Resolution  Improvement by Introducing the Enhancing Horizontal Resolution (EHR) Technique  [ICGG 2013]
            "
"
	This paperstudiesthe effect of symmetry process on the compression
parameters of thefractal
image compression technique proposed by Jacquin.Two kinds of tests have
been conducted. The first all kind of the symmetry operations [0-7] were taken;
while the second tests were concentrated on studying the effect of the
following parameters Block Size, Step Size, Domain Size on the probability
distribution of symmetry operation. The results show that the higher value of
PSNR and the lower value of ET occur atevensymmetry operation only, but compression ratio is
not affected with symmetry process. Also the occurrence probability of even
symmetry is more than odd symmetry for all compression parameters. This behaviour
can be utilized to reducethe encoding time to 50%
with preserving PSNR.
,
	 
","
                Eman A. Al-Hilo, Kawther H. Al-Khafaji
            "," , , , , UTC: 00:30 - 09:30,
                Study of Symmetry Process Behavior in Fractal Gray Image Compression by Traditional Method  [CSIP 2013]
            "
"
	This paper studies how to obtain a reasonable
traveling route among given attractions. Toward this purpose, we propose an
objective optimization model of routes choosing, which is based on the improved
Ant Colony Algorithm. Furthermore, we make some adjustment in parameters in
order to improve the precision of this algorithm. For example, the inspired
factor has been changed to get better results. Also, the ways of searching have
been adjusted so that the traveling routes will be well designed to achieve
optimal effects. At last, we select a series of attractions in Beijing as data
to do an experimental analysis, which comes out with an optimum route arrangement
for the travelers; that is to say, the models we propose and the algorithm we
improved are reasonable and effective.
","
                Zhanchang Yu, Sijia Zhang, Siyong Chen, Bingxing Liu, Shiqi Ye
            "," , , , , UTC: 00:30 - 09:30,
                Research on Traveling Routes Problems Based on  Improved Ant Colony Algorithm  [WiCOM 2013]
            "
"
	Moodle platform is the international popular course
management system. Based on the project practice of education technology course
as an example, this article has set up a platform of experimental teaching
based on Moodle platform. It mainly illustrates from the course management, self-regulated
learning test,toprocedural evaluation and so on. This platform gives full express to
the advantages of double main teaching model in which the teacher is dominant while
students are the main body, and it has significance on reference to the
practical and experimental curriculum.
","
                Ruonan Xing
            "," , , , , UTC: 00:30 - 09:30,
                Practical Teaching Platform Construction Based on Moodle—Taking “Education Technology Project Practice” as an Example  [WiCOM 2013]
            "
,"
                Zong Chen, Li Zhang
            "," , , , , UTC: 00:30 - 09:30,
                Just-In-Time Hypermedia  [SCET 2013]
            "
,"
                Seung-Jun Hwang, Jae-Hong Min, In-Gyu Kim, Seung-Jae Park, Gwang-Pyo Ahn, Joong-Hwan Baek
            "," , , , , UTC: 00:30 - 09:30,
                Human Body Tracking and Pose Estimation Using Modified Camshift Algorithm  [SCET 2013]
            "
"
	In this paper, we proposed a method
for semi-rigid changed 3D point clouds registration. We first segment the point
clouds into individual segments and then the alignment energy costs of each
segment are calculated. The rough initial transformation is estimated by
minimizing the energy cost using integer programming. The final registration
results are obtained by rigid alignments of separated corresponded segments. Experimental
result with simulated point clouds demonstrate that the concept of semi-rigid
registration works well.
,
	 
","
                Baowei Lin, Kouhei Sakai, Toru Tamaki, Bisser Raytchev, Kazufumi Kaneda, Koji Ichii
            "," , , , , UTC: 00:30 - 09:30,
                Semi-Rigid Registration of 3D Points  [CSIP 2013]
            "
