abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>A Smart Grid (SG1 ) is an intellectual and logical electricity network that integrates the actions of all users connected to it and makes use of sophisticated and highly advanced information, control, and communications technologies to save energy, reduce expenditure and increase reliability and transparency. A smart grid can reduce energy cost; it makes energy usage efficient that result in a short term solution for the energy crisis. It also helps the distribution systems for better energy management and control. The field of Information &amp; Communication Technology (ICT4 ) and computer technology can play a major role in this hazardous situation all over the world. This paper presents current research issues and challenges that need to be addressed for reliable, efficient and flexible load distribution (LD2 ) and management for smart grid design. The paper also presents some security &amp; privacy issues that inform the grid station (GS3 ) about consumer’s habits and personnel information. The article also tries to highlight major research issues in smart grid technology, which are helpful for the new researchers to find new research directions in this field &amp; technology.</div>
		<br>
		</div>",Muhammad Zakarya,"SMART GRIDS: A prologue & unscrew challenges that needs to be addressed, A Short Survey on how to make Grids Smarter:"
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>DDoS attacks are thrown through carriage of a large amount of packets to an objective machine, using instantaneous teamwork of numerous hosts which are scattered throughout the Grid computing environment. Nowadays DDoS attacks on the Internet in general and particularly in Grid computing environment has become a visible issue in computer networks and communications. DDoS attacks are cool to provoke but their uncovering is a very problematic and grim task and therefore, an eye-catching weapon for hackers. DDoS torrents do not have familiar characteristics; therefore currently existing IDS cannot identify and discover these attacks perfectly. Correspondingly, there implementation is a puzzling task. In practice, Gossip based DDoS attacks detection apparatus are used to detect such types of attacks in computer networks, by exchanging stream of traffic over line. Gossip based techniques results in network overcrowding and have upstairs of superfluous and additional packets. Keeping the above drawbacks in mind, we have proposed a DDoS detection and prevention mechanism in [1], that has the attractiveness of being easy to adapt and more trustworthy than existing counterparts. We have introduced entropy based detection mechanism for DDoS attack detection. Our proposed solution has no overhead of extra packets, hence resulting in good QoS. Once DDoS is detected, any prevention technique can be used to prevent DDoS in Grid environment. In this paper we are going to extend our idea. A confirmation mechanism is introduced herewith.</div>
		<br>
		</div>",Muhammad Zakarya,Extended DDoS Confirmation & Attack Packet Dropping Algorithm in On-Demand Grid Computing Platform
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Mobile Agent is a chunk of code that travels along a network from one host carrying its state of execution to another provides an execution environment. Mobile agents being programmed with decision making ability which can identify its route along a network. In this paper we present an agent based conceptual model for the railway traffic detection and management. The proposed model attempts to tackle with the bidirectional railway track conflict resolution using mobile agents for messaging and communication. The base system being the Centralized Traffic Control System, can efficiently ensures the smooth flow of traffic. The model also incorporated the accidents scenarios. In the end architectural model for both agent-owner and host are presented based on the given conceptual model.</div>
		<br>
		</div>","Muhsina Shinwari, Sher Afzal",TOWARDS THE RAILWAY TRAFFIC MANAGEMENT USING MOBILE AGENTS
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>MANETs (Mobile Ad Hoc Networks) are infrastructure-less, temporary wireless networks, consisting of several stations. No specific topology is defined in MANETs. MANETs have various applications in computer networks, such as providing communication in a domicile lacking network groundwork and proper infrastructure. In a MANET, a data packet may crisscross numerous hops until reaching its target location, making it exposed to various network attacks. The packets in a MANET are exposed to various packet dropping attacks. Mobility is there but security is the main issue still. The technology used for finding, advertising services to other nodes in the network is Service Discovery. Different Protocols are available for Service Discovery. Our focus in this paper will be on Service Discovery, available Service Discovery Architecture &amp; their modes of operation, some proposed protocols. We will discuss Mobile Service Discovery Protocol (MSDP), which have steady performance &amp; reduced massage overhead. Currently there is a diversity of service discovery protocols, most important Jini, SLP, Salutation, MSDP, Chord and UPnP. Bluetooth has also a slightly modest service discovery protocol. We have compared these tactics and listed their benefits and weaknesses.</em></div>
		<br>
		</div>","Muhammad Zakarya, Izaz ur Rahman",A Short Overview of Service Discovery Protocols for MANETS
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>Routing protocols play an important role in the design of an efficient network. These routingprotocols include security issues i.e. false packet injections, routing table poisoning etc. In the last decade, a lot of research has been done in improving the security of these routing protocols. In this paper, we have compared Enhances Interior Gateway Routing Protocol (EIGRP) andOpen Shortest Path First(OSPF) routing protocols in secure and non-secure scenarios. Main focus is to estimate the overall behavior of routing protocols after establishing correlation among them and on the basis of convergence under secure and non-secureenvironment. The comparison result shows that OSPF has better performance in both secure and non-secure scenarios.</p></div>
		<br>
		</div>","Murad Khan, Awais Ahmad, Gissukyun Park",Computer Network Protocols Convergence Under Secure and Non Secure Environment
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>This paper highlights the significance of cascade single layer models for predicting the shelf life of processed cheese stored at 7-8<sup>o</sup>C.</em><em> Mean square error, root mean square error, coefficient of determination and nash–sutcliffe coefficient were used for testing the prediction ability of the developed models. The developed cascade model with a combination of 5à8à1 showed excellent agreement between the actual and the predicted values, suggesting that single layer cascade models are efficient in predicting the shelf life of processed cheese.</em><strong></strong></div>
		<br>
		</div>","Sumit Goyal, Gyanendra Kumar Goyal",MACHINE LEARNING CASCADE ALGORITHM FOR ANALYZING SHELF LIFE OF PROCESSED CHEESE
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Frequent changes in topology and the lack of infrastructure compel disrupted networks to avoid the use of traditional routing protocols. Rather than defining paths towards destinations, the routing tables store access chances of known nodes towards a specific destination. History of a node’s encounter is maintained in three different ways to find out its power of access to the rest of network nodes. The survey paper discusses various routing schemes based on the past encounter patterns of network nodes.</em></p><p><strong><em>Keywords</em></strong><em>:</em> (Delay Tolerant Network) DTN; routing protocols; history-based routing; frequency; encounter; inter-contact duration;  recency.</p></div>
		<br>
		</div>",MAH-RUKH FIDA,SURVEY OF HISTORY BASED ROUTING PROTOCOLS IN DELAY TOLERANT NETWORK
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Due to its novelty, flexibility and productivity the Agile Methodologies have gained much popularity and attention of the industry practitioners, designer and developers along with researchers and writers. It has become a hot topic among stakeholders over the last few years. Out of many agile methodologies Scrum has become on the top of list being a frame work. While adopting Scrum frame work, one of the scrum role i: Scrum teem have to overcome a number of problems and hurdles  related to Scrum HRM (Human Resources),  Scrum QA(Quality Assurance), Scrum Ceremonies, and Scrum artifacts  aspects of the Agile project  management in implementing Scrum. The  research paper  identified these problems using a survey and focus group discussion of experts of the field conducted in a software project company and through systematic review of  related literature .  The results and recommendations will be discussed in the paper. The results may be used by other software development companies of the area for streamlining their project management using agile methodologies</em></div>
		<br>
		</div>","MUHAMMAD ASHRAF, NATASH ALI",Impact Agile Project Management:  Identification And Analysis Of Problems In Scrum Implementation
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>The fields like Software Engineering (SE) and Human Computer Interaction (HCI) are considered dissimilar.. SE based process model mostly discuss modeling of functional requirement while the HCI based approaches are mostly concerned with the modeling of quality attributes. The quality attributes are mostly discussed during late phases of software development. The non-functional requirements as quality attributes can be integrated in software products by considering quality or non-functional modeling approaches during all of the phases of software engineering process model. The separation of SE and HCI concerns restricts formal specification of quality attributes during all of the phases of SE process model. The software systems or products are generally less user centered because SE process models can’t address formal specification of quality attributes in SE process models. In this research a methodology for the formal specification of approaches that model functional requirements and quality attribute during SE process model is proposed. The proposed methodology is based on waterfall SE process model. It can be utilized in design and development of users centered software products. Our proposed methodology also bridges gap between SE and HCI fields.</em></p></div>
		<br>
		</div>",UMER RASHID,A Methodological Approach: Formal Specification Of Quality Attributes Modeling Approcahes In The Waterfall Process Model
